,Quarter,Tm,Detail,BAL,RAM
0,1,Colts,Lenny Moore 16 yard rush (Dick Bielski kick),7,0
1,2,Rams,"Safety, Unitas tackled in end zone by Pardee",7,2
2,3,Colts,Mark Smolinski 9 yard rush (Dick Bielski kick),14,2
