,Quarter,Tm,Detail,BUF,CIN
0,2,Bengals,Cris Collinsworth 13 yard pass from Ken Anderson (Jim Breech kick),0,7
1,2,Bills,Frank Lewis 9 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,7
2,2,Bills,Mark Brammer 4 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,7
3,2,Bengals,Jim Breech 23 yard field goal,14,10
4,4,Bills,Frank Lewis 5 yard pass from Joe Ferguson (Nick Mike-Mayer kick),21,10
5,4,Bengals,Steve Kreider 16 yard pass from Ken Anderson (Jim Breech kick),21,17
6,4,Bengals,Steve Kreider 16 yard pass from Ken Anderson (Jim Breech kick),21,24
7,4,Bills,Nick Mike-Mayer 40 yard field goal,24,24
8,OT,Bengals,Jim Breech 28 yard field goal,24,27
