,Quarter,Time,Tm,Detail,KAN,BUF
0,1.0,,Bills,Pete Metzelaars 11 yard pass from Jim Kelly (Steve Christie kick),0,7
1,1.0,,Chiefs,Marcus Allen 9 yard rush (Lin Elliott kick),7,7
2,1.0,,Bills,Andre Reed 23 yard pass from Jim Kelly (Steve Christie kick),7,14
3,2.0,,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),7,21
4,2.0,,Bills,Steve Christie 49 yard field goal,7,24
5,2.0,,Bills,Andre Reed 6 yard pass from Jim Kelly (Steve Christie kick),7,31
6,3.0,,Chiefs,Lin Elliott 22 yard field goal,10,31
7,3.0,,Bills,Steve Christie 26 yard field goal,10,34
8,4.0,1:00,Bills,Pete Metzelaars 3 yard pass from Jim Kelly (Steve Christie kick),10,41
9,4.0,1:00,Bills,Steve Christie 24 yard field goal,10,44
