,Quarter,Time,Tm,Detail,SDG,ARI
0,1.0,10:11,Cardinals,MarTay Jenkins 65 yard pass from Jake Plummer (Bill Gramatica kick),0,7
1,2.0,14:56,Chargers,LaDainian Tomlinson 4 yard rush (Steve Christie kick),7,7
2,2.0,5:03,Chargers,LaDainian Tomlinson 2 yard rush (Steve Christie kick),14,7
3,4.0,14:44,Chargers,"Safety,",16,7
4,4.0,11:23,Chargers,Donnie Edwards 20 yard interception return (Steve Christie kick),23,7
5,4.0,9:30,Cardinals,Marcel Shipp 31 yard pass from Jake Plummer (Frank Sanders pass from Jake Plummer),23,15
