,Quarter,Tm,Detail,NWE,BAL
0,1.0,Colts,Mike Wood 30 yard field goal,0,3
1,1.0,Patriots,Sam Cunningham 4 yard rush (John Smith kick),7,3
2,1.0,Colts,Don McCauley 5 yard pass from Bert Jones (Mike Wood kick),7,10
3,2.0,Patriots,Don Westbrook 15 yard pass from Tom Owen (John Smith kick),14,10
4,2.0,Colts,Ray Butler 53 yard pass from Bert Jones (Mike Wood kick),14,17
5,3.0,Colts,Ray Butler 37 yard pass from Bert Jones,14,23
6,4.0,Patriots,Don Westbrook 2 yard pass from Matt Cavanaugh (John Smith kick),21,23
