,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,,Jets,Nick Lowery 23 yard field goal,3,0
1,1.0,,Colts,Cary Blanchard 25 yard field goal,3,3
2,2.0,2:42,Colts,Lamont Warren 1 yard rush (Cary Blanchard kick),3,10
3,2.0,2:42,Jets,Jeff Graham 52 yard pass from Frank Reich,9,10
4,2.0,2:42,Jets,Jeff Graham 17 yard pass from Frank Reich (pass failed),15,10
5,3.0,2:42,Colts,Marvin Harrison 4 yard pass from Jim Harbaugh (pass failed),15,16
6,3.0,2:42,Colts,Eugene Daniel 35 yard interception return (Cary Blanchard kick),15,23
7,3.0,2:42,Jets,Adrian Murrell 1 yard rush (pass failed),21,23
8,3.0,2:42,Colts,Cary Blanchard 49 yard field goal,21,26
9,4.0,2:42,Jets,Jeff Graham 32 yard pass from Frank Reich (Keyshawn Johnson pass from Frank Reich),29,26
10,4.0,2:42,Colts,"Safety, Dent sacked Reich in end zone",29,28
11,4.0,2:42,Colts,Cary Blanchard 37 yard field goal,29,31
12,4.0,2:42,Colts,Cary Blanchard 50 yard field goal,29,34
