,Quarter,Tm,Detail,CIN,BUF
0,1.0,Bengals,Horst Muhlmann 22 yard field goal,3,0
1,1.0,Bills,Marlin Briscoe 29 yard pass from Dennis Shaw (Grant Guthrie kick),3,7
2,2.0,Bengals,Jess Phillips 1 yard rush (Horst Muhlmann kick),10,7
3,2.0,Bengals,Horst Muhlmann 30 yard field goal,13,7
4,2.0,Bills,O.J. Simpson 1 yard rush (Grant Guthrie kick),13,14
5,2.0,Bengals,Lemar Parrish 95 yard kickoff return (Horst Muhlmann kick),20,14
6,2.0,Bengals,Horst Muhlmann 13 yard field goal,23,14
7,3.0,Bengals,Horst Muhlmann 36 yard field goal,26,14
8,3.0,Bengals,Royce Berry 8 yard defensive fumble return (Horst Muhlmann kick),33,14
9,3.0,Bengals,Horst Muhlmann 43 yard field goal,36,14
10,4.0,Bengals,Lemar Parrish 83 yard blocked field goal return (Horst Muhlmann kick),43,14
