,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Errol Mann 23 yard field goal,3,0
1,2.0,Lions,Errol Mann 21 yard field goal,6,0
2,2.0,Lions,Greg Landry 4 yard rush (Errol Mann kick),13,0
3,2.0,Lions,Errol Mann 31 yard field goal,16,0
4,4.0,Packers,Mike Mercer 27 yard field goal,16,3
5,4.0,Packers,Boyd Dowler 10 yard pass from Don Horn (Mike Mercer kick),16,10
