,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Bob Margarita 11 yard rush (Pete Gudauskas kick),0,7
1,2.0,Rams,Jim Benton 16 yard pass from Albie Reisz (Lou Zontini kick),7,7
2,2.0,Bears,Gary Famiglietti 2 yard rush (Pete Gudauskas kick),7,14
3,2.0,Bears,Connie Mack Berry 15 yard pass from Sid Luckman (Pete Gudauskas kick),7,21
4,3.0,Rams,Walter West 5 yard rush (Lou Zontini kick),14,21
5,3.0,Rams,Jim Benton 13 yard pass from Albie Reisz (Lou Zontini kick),21,21
6,4.0,Bears,Al Grygo 66 yard rush (Pete Gudauskas kick),21,28
