,Quarter,Tm,Detail,HOU,DEN
0,1.0,Broncos,Gene Lang 1 yard rush (Rich Karlis kick),0,7
1,1.0,Broncos,Clarence Kay 27 yard pass from John Elway (Rich Karlis kick),0,14
2,2.0,Broncos,Rich Karlis 43 yard field goal,0,17
3,2.0,Oilers,Tony Zendejas 46 yard field goal,3,17
4,2.0,Broncos,Clarence Kay 1 yard pass from John Elway (Rich Karlis kick),3,24
5,3.0,Broncos,Rich Karlis 23 yard field goal,3,27
6,4.0,Oilers,Ernest Givins 19 yard pass from Warren Moon (Tony Zendejas kick),10,27
7,4.0,Broncos,John Elway 3 yard rush (Rich Karlis kick),10,34
