,Quarter,Tm,Detail,WAS,SEA
0,1.0,Redskins,Chip Lohmiller 29 yard field goal,3,0
1,1.0,Redskins,Earnest Byner 2 yard rush (Chip Lohmiller kick),10,0
2,2.0,Redskins,Chip Lohmiller 27 yard field goal,13,0
3,3.0,Redskins,Gary Clark 44 yard pass from Mark Rypien (Chip Lohmiller kick),20,0
4,3.0,Redskins,"Safety, Stokes tackled Krieg in end zone",22,0
5,3.0,Redskins,Earnest Byner 8 yard rush (Chip Lohmiller kick),29,0
