,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,10:42,Jets,LaDainian Tomlinson 1 yard rush (Nick Folk kick),7,0
1,2.0,6:46,Jets,Nick Folk 19 yard field goal,10,0
2,2.0,2:32,Jets,Braylon Edwards 41 yard pass from Mark Sanchez (Nick Folk kick),17,0
3,2.0,0:33,Bills,David Martin 4 yard pass from Ryan Fitzpatrick (Rian Lindell kick),17,7
4,3.0,6:09,Jets,Dustin Keller 3 yard pass from Brad Smith (Nick Folk kick),24,7
5,3.0,4:36,Jets,Dustin Keller 2 yard pass from Mark Sanchez (Nick Folk kick),31,7
6,3.0,2:40,Jets,LaDainian Tomlinson 26 yard rush (Nick Folk kick),38,7
7,4.0,9:10,Bills,Steve Johnson 13 yard pass from Ryan Fitzpatrick (Rian Lindell kick),38,14
