,Quarter,Tm,Detail,MIN,NYG
0,1.0,Vikings,"Safety, Doleman sacked Simms in end zone",2,0
1,1.0,Vikings,Fuad Reveiz 22 yard field goal,5,0
2,1.0,Giants,Matt Bahr 36 yard field goal,5,3
3,2.0,Vikings,Alfred Anderson 1 yard rush (Fuad Reveiz kick),12,3
4,2.0,Giants,Ottis Anderson 1 yard rush (Matt Bahr kick),12,10
5,3.0,Vikings,Fuad Reveiz 37 yard field goal,15,10
6,4.0,Giants,Matt Bahr 48 yard field goal,15,13
7,4.0,Giants,Ottis Anderson 2 yard rush (Matt Bahr kick),15,20
8,4.0,Giants,Matt Bahr 18 yard field goal,15,23
