,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,,Cowboys,Chris Boniol 45 yard field goal,0,3
1,1.0,,Cowboys,Chris Boniol 37 yard field goal,0,6
2,2.0,,Cowboys,Chris Boniol 42 yard field goal,0,9
3,2.0,,Cowboys,Chris Boniol 45 yard field goal,0,12
4,2.0,,Cowboys,Chris Boniol 35 yard field goal,0,15
5,4.0,,Cowboys,Chris Boniol 39 yard field goal,0,18
6,4.0,,Packers,Derrick Mayes 3 yard pass from Brett Favre (pass failed),6,18
7,4.0,,Cowboys,Chris Boniol 28 yard field goal,6,21
