,Quarter,Tm,Detail,DAL,TAM
0,1.0,Buccaneers,Steve Christie 23 yard field goal,0,3
1,2.0,Buccaneers,Danny Peebles 3 yard pass from Vinny Testaverde (Steve Christie kick),0,10
2,3.0,Cowboys,Ken Willis 24 yard field goal,3,10
3,4.0,Cowboys,Issiac Holt 64 yard interception return (Ken Willis kick),10,10
4,4.0,Buccaneers,Steve Christie 32 yard field goal,10,13
5,4.0,Cowboys,Michael Irvin 28 yard pass from Troy Aikman (Ken Willis kick),17,13
