,Quarter,Time,Tm,Detail,CLE,GNB
0,1.0,9:48,Packers,Donald Driver 42 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,3:48,Browns,Steve Heiden 1 yard pass from Trent Dilfer (Phil Dawson kick),7,7
2,2.0,13:47,Browns,Phil Dawson 21 yard field goal,10,7
3,2.0,0:13,Browns,Phil Dawson 39 yard field goal,13,7
4,3.0,2:26,Browns,Braylon Edwards 80 yard pass from Trent Dilfer (Phil Dawson kick failed),19,7
5,4.0,11:40,Packers,Ryan Longwell 34 yard field goal,19,10
6,4.0,3:40,Packers,Robert Ferguson 19 yard pass from Brett Favre (Ryan Longwell kick),19,17
7,4.0,1:50,Browns,Steve Heiden 62 yard pass from Trent Dilfer (Phil Dawson kick),26,17
8,4.0,0:04,Packers,Tony Fisher 4 yard pass from Brett Favre (Ryan Longwell kick),26,24
