,Quarter,Tm,Detail,TAM,MIN
0,1.0,Vikings,Anthony Carter 11 yard pass from Tommy Kramer (Chuck Nelson kick),0,7
1,2.0,Buccaneers,Mark Carrier 14 yard pass from Vinny Testaverde (Donald Igwebuike kick),7,7
2,2.0,Buccaneers,Donald Igwebuike 31 yard field goal,10,7
3,3.0,Vikings,Allen Rice 1 yard rush (Chuck Nelson kick),10,14
4,4.0,Buccaneers,Donald Igwebuike 36 yard field goal,13,14
