,Quarter,Time,Tm,Detail,STL,NWE
0,1.0,9:38,Rams,Torry Holt 16 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,1.0,1:55,Patriots,Terrell Buckley 52 yard interception return (Adam Vinatieri kick),7,7
2,2.0,14:06,Patriots,Adam Vinatieri 33 yard field goal,7,10
3,2.0,0:31,Rams,Marshall Faulk 9 yard pass from Kurt Warner (Jeff Wilkins kick),14,10
4,3.0,3:06,Rams,Jeff Wilkins 35 yard field goal,17,10
5,4.0,10:32,Rams,James Hodgins 11 yard pass from Kurt Warner (Jeff Wilkins kick),24,10
6,4.0,7:46,Patriots,David Patten 10 yard pass from Tom Brady (Adam Vinatieri kick),24,17
