,Quarter,Tm,Detail,TAM,CHI
0,2.0,Buccaneers,Bill Capece 20 yard field goal,3,0
1,2.0,Bears,Walter Payton 73 yard pass from Jim McMahon (Bob Thomas kick),3,7
2,2.0,Bears,Bob Thomas 50 yard field goal,3,10
3,3.0,Buccaneers,James Owens 1 yard rush (Bill Capece kick),10,10
4,4.0,Bears,Terry Schmidt 32 yard interception return (Bob Thomas kick),10,17
