,Quarter,Tm,Detail,HOU,BUF
0,2.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),0,7
1,2.0,Oilers,Tony Zendejas 35 yard field goal,3,7
2,3.0,Bills,Thurman Thomas 11 yard rush (Scott Norwood kick),3,14
3,4.0,Bills,Scott Norwood 27 yard field goal,3,17
4,4.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),10,17
