,Quarter,Tm,Detail,NWE,CLE
0,1.0,Patriots,Tony Franklin 45 yard field goal,3,0
1,2.0,Browns,Matt Bahr 24 yard field goal,3,3
2,2.0,Browns,Matt Bahr 48 yard field goal,3,6
3,2.0,Browns,Matt Bahr 27 yard field goal,3,9
4,3.0,Browns,Duriel Harris 16 yard pass from Paul McDonald (Matt Bahr kick),3,16
5,3.0,Patriots,Stephen Starring 42 yard pass from Tony Eason (Tony Franklin kick),10,16
6,4.0,Patriots,Tony Collins 2 yard rush (Tony Franklin kick),17,16
