,Quarter,Tm,Detail,MIN,DAY
0,1,Triangles,Frank Bacon 70 yard rush (Russ Hathaway kick),0,7
1,2,Triangles,Russ Hathaway 32 yard field goal,0,10
2,4,Triangles,Gus Redman 1 yard rush (Russ Hathaway kick),0,17
