,Quarter,Tm,Detail,NYG,DTX
0,1.0,Texans,Buddy Young 22 yard pass from George Taliaferro,0,6
1,1.0,Giants,Bob McChesney 26 yard pass from Charlie Conerly (Ray Poole kick),7,6
2,2.0,Giants,Ray Poole 36 yard field goal,10,6
3,3.0,Giants,Eddie Price 24 yard rush (Ray Poole kick),17,6
4,4.0,Giants,Kyle Rote 52 yard rush (Ray Poole kick),24,6
