,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Don Bessillieu 44 yard defensive fumble return (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Nat Moore 3 yard pass from David Woodley (Uwe von Schamann kick),0,14
2,3.0,Bills,Joe Cribbs 2 yard rush (Nick Mike-Mayer kick),7,14
3,3.0,Dolphins,Uwe von Schamann 23 yard field goal,7,17
4,4.0,Bills,Jerry Butler 7 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,17
