,Quarter,Time,Tm,Detail,MIA,OAK
0,1.0,11:54,Raiders,Michael Husted 49 yard field goal,0,3
1,1.0,4:53,Dolphins,Olindo Mare 21 yard field goal,3,3
2,2.0,6:34,Dolphins,Cecil Collins 1 yard rush (Olindo Mare kick),10,3
3,3.0,10:56,Raiders,Michael Husted 34 yard field goal,10,6
4,3.0,6:06,Dolphins,Olindo Mare 34 yard field goal,13,6
5,3.0,3:14,Raiders,Michael Husted 47 yard field goal,13,9
6,4.0,3:21,Dolphins,Olindo Mare 44 yard field goal,16,9
