,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,,Oilers,Al Del Greco 48 yard field goal,0,3
1,1.0,,Oilers,Eddie George 2 yard rush (Al Del Greco kick),0,10
2,2.0,,Oilers,Al Del Greco 48 yard field goal,0,13
3,3.0,,Ravens,Floyd Turner 66 yard pass from Jim Harbaugh (Matt Stover kick),7,13
4,4.0,,Oilers,Al Del Greco 33 yard field goal,7,16
5,4.0,1:51,Ravens,Floyd Turner 20 yard pass from Jim Harbaugh (Matt Stover kick),14,16
