,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Morten Andersen 41 yard field goal,3,0
1,1.0,Falcons,Ken Whisenhunt 12 yard pass from Chris Miller (Greg Davis kick),3,7
2,2.0,Falcons,Alex Higdon 34 yard pass from Chris Miller (Greg Davis kick),3,14
3,2.0,Saints,Morten Andersen 29 yard field goal,6,14
4,2.0,Saints,Eric Martin 14 yard pass from Bobby Hebert,12,14
5,3.0,Saints,Morten Andersen 28 yard field goal,15,14
6,3.0,Falcons,John Settle 1 yard rush (Greg Davis kick),15,21
7,3.0,Saints,Rueben Mayes 17 yard rush (Morten Andersen kick),22,21
8,4.0,Saints,Dalton Hilliard 4 yard rush (Morten Andersen kick),29,21
