,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Charlie Gogolak 36 yard field goal,0,3
1,1.0,Colts,Sam Havrilak 32 yard rush (Jim O'Brien kick),7,3
2,2.0,Colts,Jim O'Brien 9 yard field goal,10,3
3,3.0,Colts,Tom Mitchell 17 yard pass from Marty Domres (Jim O'Brien kick),17,3
4,3.0,Patriots,Jim Plunkett 2 yard rush (Charlie Gogolak kick),17,10
5,3.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),24,10
6,4.0,Patriots,Carl Garrett 1 yard rush (Charlie Gogolak kick),24,17
