,Quarter,Time,Tm,Detail,DEN,CAR
0,1.0,10:43,Broncos,Brandon McManus 34 yard field goal,3,0
1,1.0,6:27,Broncos,Malik Jackson offensive fumble recovery in end zone (Brandon McManus kick),10,0
2,2.0,11:25,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),10,7
3,2.0,6:58,Broncos,Brandon McManus 33 yard field goal,13,7
4,3.0,8:18,Broncos,Brandon McManus 30 yard field goal,16,7
5,4.0,10:21,Panthers,Graham Gano 39 yard field goal,16,10
6,4.0,3:08,Broncos,C.J. Anderson 2 yard rush (Bennie Fowler pass from Peyton Manning),24,10
