,Quarter,Tm,Detail,CRD,PHI
0,1.0,Cardinals,Ken Hall 31 yard pass from King Hill (Bobby Joe Conrad kick),7,0
1,2.0,Eagles,Pete Retzlaff 40 yard pass from Norm Van Brocklin (Bobby Walston kick),7,7
2,2.0,Cardinals,Mal Hammack 17 yard blocked punt return (Bobby Joe Conrad kick),14,7
3,2.0,Eagles,Billy Ray Barnes 47 yard pass from Norm Van Brocklin (Bobby Walston kick),14,14
4,3.0,Eagles,Paige Cothren 21 yard field goal,14,17
5,4.0,Cardinals,Bobby Joe Conrad 32 yard field goal,17,17
6,4.0,Eagles,Clarence Peaks 1 yard rush (Paige Cothren kick),17,24
7,4.0,Eagles,Paige Cothren 12 yard field goal,17,27
