,Quarter,Tm,Detail,PHI,CIN
0,2.0,Bengals,Eric Crabtree 2 yard pass from Virgil Carter (Horst Muhlmann kick),0,7
1,2.0,Eagles,Ben Hawkins 10 yard pass from Pete Liske (Happy Feller kick),7,7
2,2.0,Bengals,Horst Muhlmann 36 yard field goal,7,10
3,3.0,Bengals,Speedy Thomas 90 yard pass from Virgil Carter (Horst Muhlmann kick),7,17
4,3.0,Bengals,Horst Muhlmann 35 yard field goal,7,20
5,3.0,Bengals,Jess Phillips 7 yard pass from Virgil Carter (Horst Muhlmann kick),7,27
6,4.0,Eagles,Ben Hawkins 15 yard pass from Pete Liske (Happy Feller kick),14,27
7,4.0,Bengals,Essex Johnson 68 yard rush (Horst Muhlmann kick),14,34
8,4.0,Bengals,Horst Muhlmann 26 yard field goal,14,37
