,Quarter,Tm,Detail,DET,CHI
0,2,Bears,George Halas 25 yard pass from Paddy Driscoll (Paddy Driscoll kick),0,7
1,3,Wolverines,Benny Friedman 7 yard rush (Benny Friedman kick),7,7
2,4,Wolverines,Benny Friedman 1 yard rush (Benny Friedman kick),14,7
