,Quarter,Tm,Detail,NWE,MIN
0,1.0,Vikings,Darrin Nelson 8 yard rush (Chuck Nelson kick),0,7
1,1.0,Patriots,Teddy Garcia 50 yard field goal,3,7
2,1.0,Vikings,Chuck Nelson 39 yard field goal,3,10
3,2.0,Vikings,Alfred Anderson 5 yard rush (Chuck Nelson kick),3,17
4,2.0,Vikings,Anthony Carter 29 yard pass from Tommy Kramer (Chuck Nelson kick),3,24
5,2.0,Patriots,Teddy Garcia 23 yard field goal,6,24
6,3.0,Vikings,"Safety, Holt tackled Feagles in end zone",6,26
7,4.0,Vikings,Chuck Nelson 24 yard field goal,6,29
8,4.0,Vikings,Darryl Harris 2 yard rush (Chuck Nelson kick),6,36
