,Quarter,Tm,Detail,SDG,MIN
0,1.0,Chargers,Wes Chandler 20 yard pass from Dan Fouts (Rolf Benirschke kick),7,0
1,1.0,Vikings,Jan Stenerud 41 yard field goal,7,3
2,1.0,Chargers,Wes Chandler 17 yard pass from Dan Fouts (Rolf Benirschke kick),14,3
3,2.0,Chargers,Pete Johnson 1 yard rush (Rolf Benirschke kick),21,3
4,3.0,Chargers,Pete Johnson 1 yard rush (Rolf Benirschke kick),28,3
5,3.0,Chargers,Charlie Joiner 25 yard pass from Pete Holohan (Rolf Benirschke kick),35,3
6,3.0,Chargers,Gill Byrd 18 yard interception return (Rolf Benirschke kick),42,3
7,3.0,Vikings,Joey Browner 63 yard defensive fumble return (Jan Stenerud kick),42,10
8,4.0,Vikings,Jan Stenerud 52 yard field goal,42,13
