,Quarter,Time,Tm,Detail,NYJ,NWE
0,2.0,8:47,Jets,Keyshawn Johnson 1 yard pass from Ray Lucas (John Hall kick),7,0
1,2.0,1:46,Patriots,Adam Vinatieri 22 yard field goal,7,3
2,2.0,1:09,Jets,Curtis Martin 36 yard rush (John Hall kick),14,3
3,2.0,0:20,Jets,Fred Baxter 11 yard pass from Ray Lucas (John Hall kick),21,3
4,4.0,12:29,Jets,John Hall 26 yard field goal,24,3
5,4.0,10:07,Patriots,Kevin Faulk 13 yard pass from Drew Bledsoe (Adam Vinatieri kick),24,10
6,4.0,6:58,Patriots,Troy Brown 31 yard pass from Drew Bledsoe (Adam Vinatieri kick),24,17
