,Quarter,Tm,Detail,MIA,HOU
0,2.0,Dolphins,Karl Kremser 17 yard field goal,3,0
1,2.0,Dolphins,Howard Twilley 9 yard pass from Bob Griese (Karl Kremser kick),10,0
2,2.0,Oilers,Roy Gerela 39 yard field goal,10,3
3,2.0,Oilers,Roy Gerela 17 yard field goal,10,6
4,3.0,Oilers,Roy Hopkins 6 yard rush (Roy Gerela kick),10,13
5,3.0,Oilers,Roy Gerela 17 yard field goal,10,16
6,4.0,Oilers,Roy Gerela 31 yard field goal,10,19
7,4.0,Oilers,Roy Gerela 30 yard field goal,10,22
