,Quarter,Tm,Detail,CHI,DAL
0,1.0,Bears,Vince Evans 3 yard rush (Bob Thomas kick),7,0
1,1.0,Cowboys,Tony Hill 42 yard pass from Roger Staubach (Rafael Septien kick),7,7
2,2.0,Cowboys,Rafael Septien 46 yard field goal,7,10
3,3.0,Bears,Golden Richards 52 yard pass from Vince Evans,13,10
4,3.0,Cowboys,Billy Joe DuPree 11 yard pass from Roger Staubach (Rafael Septien kick),13,17
5,4.0,Bears,James Scott 64 yard pass from Vince Evans (Bob Thomas kick),20,17
6,4.0,Cowboys,Tony Hill 22 yard pass from Roger Staubach (Rafael Septien kick),20,24
