,Quarter,Time,Tm,Detail,GNB,CHI
0,2.0,,Packers,Robert Brooks 18 yard pass from Brett Favre (Chris Jacke kick),7,0
1,2.0,,Bears,Jeff Jaeger 40 yard field goal,7,3
2,2.0,,Packers,Keith Jackson 2 yard pass from Brett Favre (Chris Jacke kick),14,3
3,2.0,,Packers,Antonio Freeman 50 yard pass from Brett Favre,20,3
4,3.0,,Bears,Jeff Jaeger 41 yard field goal,20,6
5,3.0,15:00,Packers,Don Beebe 90 yard kickoff return (Chris Jacke kick),27,6
6,3.0,15:00,Packers,Antonio Freeman 35 yard pass from Brett Favre (Chris Jacke kick),34,6
7,4.0,15:00,Packers,Chris Jacke 32 yard field goal,37,6
