,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Pettis Norman 1 yard pass from Don Meredith (Sam Baker kick),0,7
1,1.0,Eagles,Tommy McDonald 23 yard pass from King Hill,6,7
2,2.0,Cowboys,Don Perkins 2 yard rush (Sam Baker kick),6,14
3,2.0,Cowboys,Sam Baker 33 yard field goal,6,17
4,3.0,Cowboys,Frank Clarke 14 yard pass from Don Meredith (Sam Baker kick),6,24
5,3.0,Eagles,Timmy Brown 24 yard pass from King Hill (Mike Clark kick),13,24
6,4.0,Cowboys,Sam Baker 27 yard field goal,13,27
7,4.0,Eagles,Pete Retzlaff 16 yard pass from King Hill (Mike Clark kick),20,27
