,Quarter,Tm,Detail,HOU,CLE
0,1.0,Oilers,Tony Zendejas 39 yard field goal,3,0
1,1.0,Oilers,Domingo Bryant 36 yard interception return (Tony Zendejas kick),10,0
2,2.0,Browns,Michael Dean Perry 10 yard defensive fumble return (Matt Bahr kick),10,7
3,2.0,Oilers,Tony Zendejas 42 yard field goal,13,7
4,2.0,Oilers,Tony Zendejas 35 yard field goal,16,7
5,3.0,Oilers,Haywood Jeffires 7 yard pass from Warren Moon (Tony Zendejas kick),23,7
6,3.0,Browns,Earnest Byner 2 yard pass from Don Strock (Matt Bahr kick),23,14
7,4.0,Browns,Earnest Byner 2 yard rush (Matt Bahr kick),23,21
8,4.0,Browns,Webster Slaughter 22 yard pass from Don Strock (Matt Bahr kick),23,28
