,Quarter,Tm,Detail,DAL,PHO
0,1.0,Cardinals,Larry Centers 2 yard pass from Chris Chandler (Greg Davis kick),0,7
1,2.0,Cowboys,Lin Elliott 28 yard field goal,3,7
2,2.0,Cowboys,Jay Novacek 7 yard pass from Troy Aikman (Lin Elliott kick),10,7
3,3.0,Cowboys,Alvin Harper 37 yard pass from Troy Aikman,16,7
4,4.0,Cardinals,Greg Davis 20 yard field goal,16,10
