,Quarter,Tm,Detail,RAM,SFO
0,1,49ers,John David Crow 22 yard pass from John Brodie (Tommy Davis kick),0,7
1,2,Rams,Dick Bass 1 yard rush (Bruce Gossett kick),7,7
2,3,Rams,Les Josephson 3 yard pass from Roman Gabriel (Bruce Gossett kick),14,7
3,4,Rams,Bruce Gossett 27 yard field goal,17,7
