,Quarter,Tm,Detail,MIA,BUF
0,1.0,Bills,John Leypoldt 22 yard field goal,0,3
1,2.0,Dolphins,Jim Mandich 1 yard pass from Bob Griese (Garo Yepremian kick),7,3
2,3.0,Dolphins,Marv Fleming 3 yard pass from Bob Griese (Garo Yepremian kick),14,3
3,3.0,Bills,Ahmad Rashad offensive fumble recovery in end zone,14,9
4,4.0,Dolphins,Mercury Morris 17 yard rush (Garo Yepremian kick),21,9
5,4.0,Bills,J.D. Hill 25 yard pass from Joe Ferguson (John Leypoldt kick),21,16
6,4.0,Dolphins,Garo Yepremian 22 yard field goal,24,16
