,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,George McAfee 52 yard pass from Johnny Lujack (Johnny Lujack kick),0,7
1,1.0,Bears,Ken Kavanaugh 17 yard pass from Johnny Lujack (Johnny Lujack kick),0,14
2,1.0,Cardinals,Charley Trippi 3 yard pass from Paul Christman (Pat Harder kick),7,14
3,2.0,Bears,Ken Kavanaugh 37 yard pass from Johnny Lujack (Johnny Lujack kick),7,21
4,2.0,Bears,J.R. Boone 18 yard pass from Johnny Lujack (Johnny Lujack kick),7,28
5,2.0,Bears,George Blanda 25 yard field goal,7,31
6,3.0,Bears,George Gulyanics 2 yard rush (Johnny Lujack kick),7,38
7,3.0,Cardinals,Mal Kutner 49 yard pass from Paul Christman (Pat Harder kick),14,38
8,4.0,Bears,John Hoffman 6 yard pass from Johnny Lujack (Johnny Lujack kick),14,45
9,4.0,Bears,John Hoffman 65 yard pass from Johnny Lujack (Johnny Lujack kick),14,52
10,4.0,Cardinals,Charley Trippi 19 yard pass from Paul Christman (Pat Harder kick),21,52
