,Quarter,Tm,Detail,RAI,MIA
0,1.0,Raiders,Mike Haynes 97 yard interception return (Chris Bahr kick),7,0
1,1.0,Dolphins,Jimmy Cefalo 4 yard pass from Dan Marino (Uwe von Schamann kick),7,7
2,2.0,Dolphins,Tony Nathan 6 yard rush,7,13
3,2.0,Raiders,Marcus Allen 11 yard rush (Chris Bahr kick),14,13
4,2.0,Raiders,Chris Bahr 44 yard field goal,17,13
5,3.0,Raiders,Dave Casper 7 yard pass from Marc Wilson (Chris Bahr kick),24,13
6,3.0,Dolphins,Mark Clayton 64 yard pass from Dan Marino (Uwe von Schamann kick),24,20
7,3.0,Dolphins,Mark Clayton 11 yard pass from Dan Marino (Uwe von Schamann kick),24,27
8,4.0,Raiders,Dokie Williams 75 yard pass from Marc Wilson (Chris Bahr kick),31,27
9,4.0,Raiders,Marcus Allen 6 yard rush (Chris Bahr kick),38,27
10,4.0,Dolphins,Mark Duper 9 yard pass from Dan Marino (Uwe von Schamann kick),38,34
11,4.0,Raiders,Marcus Allen 52 yard rush (Chris Bahr kick),45,34
