,Quarter,Tm,Detail,SFO,BAL
0,1.0,49ers,Billy Kilmer 5 yard rush (Tommy Davis kick),7,0
1,3.0,49ers,Monty Stickles 4 yard pass from John Brodie (Tommy Davis kick),14,0
2,4.0,Colts,Alex Hawkins 1 yard rush (Dick Bielski kick),14,7
3,4.0,49ers,Billy Kilmer 5 yard rush (Tommy Davis kick),21,7
4,4.0,Colts,Alex Hawkins 1 yard rush,21,13
