,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Fred Cone 25 yard field goal,3,0
1,2.0,Cardinals,"Safety, LeBaron tackled in end zone by Tracey",3,2
2,2.0,Cardinals,John David Crow 9 yard rush (Bobby Joe Conrad kick),3,9
3,4.0,Cowboys,L.G. Dupre 3 yard rush (Fred Cone kick),10,9
4,4.0,Cardinals,Gerry Perry 18 yard field goal,10,12
