,Quarter,Time,Tm,Detail,PIT,OAK
0,1.0,,Steelers,Ernie Mills 37 yard pass from Neil O'Donnell (Norm Johnson kick),7,0
1,2.0,,Steelers,Norm Johnson 41 yard field goal,10,0
2,2.0,,Raiders,Aundray Bruce 1 yard interception return (Jeff Jaeger kick),10,7
3,2.0,,Steelers,Norm Johnson 35 yard field goal,13,7
4,2.0,,Steelers,Ernie Mills 14 yard pass from Neil O'Donnell (Norm Johnson kick),20,7
5,3.0,,Raiders,Jeff Jaeger 39 yard field goal,20,10
6,3.0,,Steelers,Norm Johnson 32 yard field goal,23,10
7,4.0,,Steelers,Norm Johnson 20 yard field goal,26,10
8,4.0,,Steelers,Norm Johnson 22 yard field goal,29,10
