,Quarter,Tm,Detail,ATL,KAN
0,1,Falcons,Brad Daluiso 20 yard field goal,3,0
1,3,Chiefs,Christian Okoye 4 yard rush (Nick Lowery kick),3,7
2,4,Chiefs,Emile Harry 6 yard pass from Steve DeBerg (Nick Lowery kick),3,14
