,Quarter,Time,Tm,Detail,BAL,DEN
0,1.0,14:40,Broncos,Dwayne Carswell 3 yard pass from Brian Griese (Jason Elam kick),0,7
1,1.0,4:14,Ravens,Matt Stover 29 yard field goal,3,7
2,1.0,0:22,Broncos,Jason Elam 43 yard field goal,3,10
3,2.0,10:07,Ravens,Matt Stover 26 yard field goal,6,10
4,3.0,9:28,Broncos,Jason Elam 49 yard field goal,6,13
5,3.0,5:42,Ravens,Qadry Ismail 20 yard pass from Elvis Grbac (Matt Stover kick),13,13
6,4.0,8:51,Ravens,Travis Taylor 3 yard pass from Elvis Grbac (Matt Stover kick),20,13
