,Quarter,Tm,Detail,DAY,CRD
0,1,Cardinals,Ernie Nevers 3 yard rush,0,6
1,2,Cardinals,Ernie Nevers 3 yard rush,0,12
2,3,Cardinals,Ernie Nevers 1 yard rush (Ernie Nevers kick),0,19
