,Quarter,Time,Tm,Detail,NYJ,MIN
0,1.0,,Jets,Marcus Turner 90 yard interception return (Nick Lowery kick),7,0
1,1.0,,Vikings,Scottie Graham 4 yard rush (Fuad Reveiz kick),7,7
2,1.0,,Jets,Nick Lowery 38 yard field goal,10,7
3,2.0,,Vikings,Cris Carter 6 yard pass from Warren Moon (Fuad Reveiz kick),10,14
4,2.0,,Jets,Ryan Yarborough 11 yard pass from Boomer Esiason (Nick Lowery kick),17,14
5,3.0,,Jets,Rob Moore 5 yard pass from Boomer Esiason (Nick Lowery kick),24,14
6,4.0,,Jets,Art Monk 11 yard pass from Boomer Esiason (Nick Lowery kick),31,14
7,4.0,,Vikings,Qadry Ismail 2 yard pass from Warren Moon (Fuad Reveiz kick),31,21
