,Quarter,Time,Tm,Detail,IND,DAL
0,1.0,6:36,Cowboys,Terrance Williams 9 yard pass from Tony Romo (Dan Bailey kick),0,7
1,1.0,4:23,Cowboys,Dez Bryant 19 yard pass from Tony Romo (Dan Bailey kick),0,14
2,2.0,14:11,Cowboys,Cole Beasley 24 yard pass from Tony Romo (Dan Bailey kick),0,21
3,2.0,6:32,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),0,28
4,3.0,4:41,Cowboys,Jason Witten 25 yard pass from Tony Romo (Dan Bailey kick),0,35
5,4.0,10:12,Cowboys,Terrance Williams 43 yard pass from Brandon Weeden (Dan Bailey kick),0,42
6,4.0,5:24,Colts,Zurlon Tipton 1 yard pass from Matt Hasselbeck (Adam Vinatieri kick),7,42
