,Quarter,Tm,Detail,PIT,RAM
0,1.0,Rams,Dante Magnani 93 yard kickoff return (Chet Adams kick),0,7
1,1.0,Rams,Chet Adams 40 yard field goal,0,10
2,2.0,Steelers,Elmer Hackney 4 yard rush (Jack Sanders kick),7,10
3,2.0,Steelers,Art Jones 34 yard rush (Jack Sanders kick),14,10
4,2.0,Rams,Paul McDonough 10 yard pass from Parker Hall (Chet Adams kick),14,17
