,Quarter,Time,Tm,Detail,NOR,ATL
0,2.0,9:03,Falcons,Trevor Gaylor 74 yard pass from Michael Vick (Jay Feely kick),0,7
1,3.0,6:45,Falcons,Michael Vick 7 yard rush (Jay Feely kick),0,14
2,3.0,3:37,Saints,John Carney 35 yard field goal,3,14
3,4.0,14:18,Falcons,Jay Feely 42 yard field goal,3,17
4,4.0,11:54,Saints,Joe Horn 57 yard pass from Aaron Brooks (John Carney kick),10,17
5,4.0,3:56,Falcons,Alge Crumpler 4 yard pass from Michael Vick (Jay Feely kick),10,24
6,4.0,0:47,Saints,Donte' Stallworth 12 yard pass from Aaron Brooks (John Carney kick),17,24
