,Quarter,Time,Tm,Detail,IND,OAK
0,1.0,,Colts,Cary Blanchard 25 yard field goal,3,0
1,1.0,14:01,Raiders,Napoleon Kaufman 84 yard kickoff return (Jeff Jaeger kick),3,7
2,2.0,14:01,Colts,Marshall Faulk 7 yard rush (Cary Blanchard kick),10,7
3,2.0,14:01,Raiders,Jeff Jaeger 28 yard field goal,10,10
4,3.0,14:01,Raiders,Rocket Ismail 46 yard pass from Vince Evans (Jeff Jaeger kick),10,17
5,3.0,14:01,Raiders,Jeff Jaeger 24 yard field goal,10,20
6,3.0,14:01,Colts,Marshall Faulk 9 yard rush (Cary Blanchard kick),17,20
7,3.0,14:01,Raiders,Rocket Ismail 73 yard pass from Vince Evans (Jeff Jaeger kick),17,27
8,4.0,14:01,Raiders,Jeff Jaeger 35 yard field goal,17,30
