,Quarter,Tm,Detail,NOR,DEN
0,1.0,Broncos,Otis Armstrong 3 yard rush (Jim Turner kick),0,7
1,1.0,Saints,Bill McClard 52 yard field goal,3,7
2,1.0,Saints,Terry Schmidt 24 yard interception return (Bill McClard kick),10,7
3,2.0,Broncos,Riley Odoms 3 yard pass from Steve Ramsey (Jim Turner kick),10,14
4,2.0,Broncos,Bill Thompson 38 yard interception return,10,20
5,2.0,Broncos,Otis Armstrong 1 yard rush,10,26
6,3.0,Saints,Rod McNeill 1 yard rush (Bill McClard kick),17,26
7,3.0,Broncos,Billy Van Heusen 43 yard pass from Steve Ramsey (Jim Turner kick),17,33
