,Quarter,Time,Tm,Detail,SEA,DAL
0,1.0,9:50,Cowboys,Brett Maher 39 yard field goal,0,3
1,2.0,7:03,Seahawks,Sebastian Janikowski 27 yard field goal,3,3
2,2.0,1:43,Seahawks,Sebastian Janikowski 42 yard field goal,6,3
3,2.0,0:24,Cowboys,Michael Gallup 11 yard pass from Dak Prescott (Brett Maher kick),6,10
4,3.0,1:59,Seahawks,Russell Wilson 4 yard rush (Mike Davis run),14,10
5,4.0,12:28,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),14,17
6,4.0,2:08,Cowboys,Dak Prescott 1 yard rush (Brett Maher kick),14,24
7,4.0,1:18,Seahawks,J.D. McKissic 7 yard pass from Russell Wilson (Chris Carson run),22,24
