,Quarter,Time,Tm,Detail,MIN,DET
0,2.0,6:45,Lions,Dave Rayner 55 yard field goal,0,3
1,2.0,0:23,Lions,Nate Burleson 7 yard pass from Shaun Hill (Dave Rayner kick),0,10
2,3.0,9:58,Lions,Dave Rayner 37 yard field goal,0,13
3,3.0,6:03,Vikings,Jared Allen 36 yard interception return (Ryan Longwell kick),7,13
4,4.0,12:05,Vikings,Ryan Longwell 27 yard field goal,10,13
5,4.0,9:29,Lions,Maurice Morris 5 yard rush (Dave Rayner kick),10,20
6,4.0,1:55,Vikings,Ryan Longwell 48 yard field goal,13,20
