,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Ike Hill 68 yard punt return (John Leypoldt kick),7,0
1,1.0,Patriots,Randy Vataha 16 yard pass from Jim Plunkett (Charlie Gogolak kick),7,7
2,2.0,Patriots,Tom Beer 10 yard pass from Jim Plunkett (Charlie Gogolak kick),7,14
3,2.0,Bills,Marlin Briscoe 15 yard pass from James Harris (John Leypoldt kick),14,14
4,2.0,Bills,John Leypoldt 17 yard field goal,17,14
5,2.0,Patriots,Carl Garrett 80 yard pass from Jim Plunkett (Charlie Gogolak kick),17,21
6,2.0,Patriots,Roland Moss 10 yard blocked punt return (Charlie Gogolak kick),17,28
7,2.0,Bills,John Leypoldt 48 yard field goal,20,28
8,3.0,Patriots,Eric Crabtree 31 yard pass from Jim Plunkett (Charlie Gogolak kick),20,35
9,3.0,Bills,John Leypoldt 17 yard field goal,23,35
10,3.0,Bills,Robert James defensive fumble recovery in end zone (John Leypoldt kick),30,35
11,4.0,Bills,John Leypoldt 12 yard field goal,33,35
12,4.0,Patriots,Charlie Gogolak 37 yard field goal,33,38
