,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Morris Stroud 39 yard pass from Len Dawson (Jan Stenerud kick),0,7
1,1.0,Chiefs,Elmo Wright 69 yard pass from Len Dawson (Jan Stenerud kick),0,14
2,1.0,Broncos,Jim Turner 12 yard field goal,3,14
3,2.0,Chiefs,Ed Podolak 17 yard rush (Jan Stenerud kick),3,21
4,3.0,Chiefs,Jim Otis 12 yard pass from Len Dawson (Jan Stenerud kick),3,28
5,4.0,Broncos,Floyd Little 26 yard rush (Jim Turner kick),10,28
