,Quarter,Tm,Detail,GNB,NYY
0,2.0,Packers,Ted Fritsch 45 yard field goal,3,0
1,2.0,Packers,Nolan Luhn 14 yard pass from Jug Girard,9,0
2,3.0,Packers,Ted Fritsch 14 yard field goal,12,0
3,4.0,Packers,Tony Canadeo 15 yard rush (Ted Fritsch kick),19,0
