,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,"Safety, Mitchell tackled Drungo in end zone",2,0
1,1.0,Browns,Don Cockroft 30 yard field goal,5,0
2,2.0,Browns,Don Cockroft 40 yard field goal,8,0
3,2.0,Oilers,Ronnie Coleman 7 yard pass from John Hadl (Skip Butler kick),8,7
4,4.0,Browns,Brian Duncan 10 yard pass from Greg Pruitt,14,7
5,4.0,Browns,Oscar Roan 23 yard pass from Brian Sipe (Don Cockroft kick),21,7
