,Quarter,Time,Tm,Detail,PHI,MIN
0,1.0,6:44,Eagles,David Akers 43 yard field goal,3,0
1,1.0,0:00,Eagles,David Akers 51 yard field goal,6,0
2,2.0,11:05,Vikings,Adrian Peterson 40 yard rush (Ryan Longwell kick),6,7
3,2.0,7:29,Eagles,David Akers 31 yard field goal,9,7
4,2.0,6:34,Eagles,Asante Samuel 44 yard interception return (David Akers kick),16,7
5,2.0,1:51,Vikings,Adrian Peterson 3 yard rush (Ryan Longwell kick),16,14
6,4.0,6:37,Eagles,Brian Westbrook 71 yard pass from Donovan McNabb (David Akers kick),23,14
7,4.0,1:55,Eagles,David Akers 45 yard field goal,26,14
